Playbook Path,Play Name,Task Name,duplicated code,complex playbook,high playbook coupling,Large Playbook,Unnecessary set_fact,Overriding facts,Incohesive Playbook,Unecessary Abstraction ,Insufficient Modularization,Inconsistent Naming Convention ,Large Play,Unnamed Play,Large Task,Long Task Name
,,Set sc_if_c1 fact,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/IBM/ibm-spectrum-scale-install-infra/blob/master/roles/scale_object/node/tasks/install_remote_pkg.yml,,,0,0,0,1,0,0,0,0,0,0,#,#,#,#
,,install | Stat remote installation package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check remote installation package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Stat checksum file,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Read checksum from file,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Compare checksums,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Stat extracted packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Make installation package executable,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Extract installation package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Stat extracted packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check extracted packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | obj path,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Find all packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check valid scale openstack-swift packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check valid python3-swift package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install | Check valid scale spectrum-scale-object package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/openstack/openstack-ansible-haproxy_server/blob/master/tasks/haproxy_ssl_letsencrypt.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Install certbot from distro package,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create first time ssl cert with certbot,#,#,#,#,#,#,#,#,#,#,#,#,1,0
,,Create certbot pre hook,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create certbot post renewal hook,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create new pem file for haproxy,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/dellhpc/omnia/blob/main/security/roles/secure_login_node/tasks/ipa_configuration.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Modify the freeipa global password policy,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create sysadmin group,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create sysadmin_sudo rule,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/oravirt/ansible-oracle/blob/master/roles/oraswgi_manage_patches/tasks/main.yml,,,0,0,0,1,0,0,0,0,0,0,#,#,#,#
,,gi_opatch | check if GI has been configured,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,gi_opatch | set fact for patch_before_rootsh,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,gi_opatch | Create patch-base directory (version specific),#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,include transfer-files.yml,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,include unpack-files.yml,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,include opatch-upgrade.yml,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,gi_opatch | Check current opatch version,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,gi_opatch | Configure ocm.rsp (1),#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,gi_opatch | Configure ocm.rsp (2),#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,gi_opatch | Manage opatchauto patches for GI (after software only install),#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,gi_opatch | Manage opatchauto patches for GI,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,gi_opatch | Manage non opatchauto patches for GI,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/jdauphant/ansible-role-nginx/blob/master/tasks/cloudflare_configuration.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Get list of CloudFlare IPv4,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Get list of CloudFlare IPv6,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create independent configuration for CloudFlare,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/openstack/tripleo-ansible/blob/master/tripleo_ansible/playbooks/cli-overcloud-node-growvols.yaml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,Overcloud Node Grow Volumes,,#,#,#,#,#,#,#,#,#,#,1,0,#,#
,,Wait for provisioned nodes to boot,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set growvols_args,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Output growvols_args,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Find the growvols utility,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Run growvols block,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Setting growvols path,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""Running {{ growvols_path }} {{growvols_args}}""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Output of growvols stdout,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/AtlasOfLivingAustralia/ala-install/blob/master/ansible/dashboard.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
https://github.com/redhat-openstack/khaleesi/blob/master/roles/patch_rpm/tasks/patch-rpm.yml,,,0,0,0,0,1,0,0,0,0,0,#,#,#,#
,,Apply patch on dist-git,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Write the epoch so the package does not get updated by older versions,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Build an rpm from patched dist-git,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,set fact - rpm build result,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Check for 'non-exist file' errors,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail run if rpm build failed,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/yatesr/ansible-timezone/blob/master/tasks/main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
https://github.com/redhat-openstack/khaleesi/blob/master/playbooks/installer/rdo-manager/undercloud/run.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,install the undercloud,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,,"update hosts file for localhost.localhost (workaround for puppet, discovered on centos7)",#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,install the undercloud,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,get overview about what went wrong in undercloud installation,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check if undercloud failed,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,copy files to home,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,chown files for stack user,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,confirm installing the undercloud is idempotent,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,,install the undercloud,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,get overview about what went wrong in idempotent undercloud installation,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check if idempotent undercloud installation failed,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,play1,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,,task1,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Update apt cache if needed.,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Ensure ping is present.,#,#,#,#,#,#,#,#,#,#,#,#,#,#
https://github.com/AtlasOfLivingAustralia/ala-install/blob/master/ansible/roles/fieldguide/tasks/main.yml,,,0,0,0,0,0,0,1,0,0,0,#,#,0,0
,,add nginx vhost if configured,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,ensure target directories exist [data subdirectories etc.],#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,copy all config.properties,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,set data ownership,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/openstack/tripleo-quickstart/blob/master/roles/libvirt/setup/undercloud/tasks/customize_overcloud.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Create overcloud customize script,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check if overcloud image is already extracted,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Extract {{ overcloud_image }} image,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Perform extra overcloud customizations,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Copy updated {{ overcloud_image }} image back to undercloud,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/Juniper/contrail-ansible/blob/master/kolla-ansible/ansible/roles/panko/tasks/pull.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Pulling panko-api image,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/sassoftware/viya4-deployment/blob/main/roles/multi-tenancy/tasks/tenant-pod-templates.yaml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,FileGenerator updates for tenant-specific resources,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,delete tenant-specific resource directories if present,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,create a new directory for each tenant under $deploy/site-config/multi-tenant/,#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,copy - sas-programming-environment files,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,list all the pod templates to be updated,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,replace all occurrences of SAS-TENANT-ID with the ID of the tenant,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/openstack/ansible-role-python_venv_build/blob/master/tests/test.yml,,,0,0,0,1,0,0,0,0,0,0,#,#,#,#
,Prepare the host/containers,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Prepare web server on localhost to serve python packages,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,,Set venv_build_archive_path and venv_install_source_path,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Install EPEL gpg keys,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Install the EPEL repository,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Install distro packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Enable and start nginx,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,Verify not using a build host,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,,Execute venv install,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,refresh local facts,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Show the ansible_local facts,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Verify that the facts were set,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Find files/folders on targets,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Compile the folder list from the targets,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Show the files/folder from the targets,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Verify the folder list from the targets,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,Verify using a build host,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,,Execute venv install,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"""python_venv_build""",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,refresh local facts,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Show the ansible_local facts,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Verify that the facts were set,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Find files/folders on targets,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Compile the folder list from the targets,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Show the files/folder from the targets,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Verify the folder list from the targets,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/UCCNetsoc/NaC/blob/master/roles/git/tasks/main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Install git,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/EMCECS/ECS-CommunityEdition/blob/master/ui/ansible/clicmd_bootstrap.yml,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Common | Ping data nodes before doing anything else,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Installer | Slice nodes into OS groups for package install,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,CentOS 7 | Synchronize cache,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,CentOS 7 | Install cached packages,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Installer | Disable torrent ffx,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
https://github.com/theforeman/forklift/blob/master/roles/freeipa_server/tasks/install_freeipa_server.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Install FreeIPA server packages (this could take a while)',#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fix /etc/hosts record for self',#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fix /etc/hosts freeipa installation',#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Ensure localhost record is in /etc/hosts',#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Run FreeIPA Install',#,#,#,#,#,#,#,#,#,#,0,0,0,0
https://github.com/openstack/tripleo-ansible/blob/master/tripleo_ansible/roles/tripleo_packages/molecule/external_upgrade/prepare.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,prepare,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
https://github.com/alvistack/ansible-role-jira/blob/master/tasks/main.yml,,,0,0,0,1,0,0,1,0,0,0,#,#,#,#
,,include default variables,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,include release specific variables,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,include release specific tasks,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,groupadd,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,useradd,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,prepare directories,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,copy templates,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,prepare files,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,patch /opt/atlassian/jira/atlassian-jira/WEB-INF/web.xml,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,flush handlers,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,systemctl start jira.service,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/HCL-TECH-SOFTWARE/connections-automation/blob/main/playbooks/hcl/connections-setup-azure-oidc.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,Gather facts,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Start WAS Nodes,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
, Start CNX Clusters,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Setup Azure AD OIDC authentication for Connections,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Set application security roles to All Authenticated in Trusted Realm,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Synchronize WAS nodes,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Restart CNX Clusters,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
https://github.com/jmunixusers/cs-vm-build/blob/main/roles/filezilla/tasks/main.yml,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Install Filezilla package,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Create Filezilla configuration directory,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Copy template default Filezilla configuration,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Attempt to copy Filezilla filters,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
https://github.com/ArdanaCLM/ardana-ansible/blob/master/roles/service-guest-image/tasks/upload_image.yml,,,0,0,0,0,1,0,0,0,0,0,#,#,#,#
,,service-guest-image | upload-image | get checksum for new image,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,service-guest-image | upload-image | find image that matches the checksum and name,#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,service-guest-image | upload-image | Upload new datastore image,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,service-guest-image | upload-image | use image id from glance upload,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/debops/debops/blob/master/ansible/playbooks/service/redis_server.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,Manage Redis server,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,,Prepare sysfs environment,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Prepare redis_server environment,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/sensu/sensu-go-ansible/blob/master/tests/integration/molecule/module_silence/converge.yml,,,0,0,0,1,0,0,0,0,1,0,#,#,#,#
,Converge,,#,#,#,#,#,#,#,#,#,#,1,0,#,#
,,Create silence without parameters,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create silence with only check parameter,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create silence with only check parameter idempotence,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create silence with only subscription parameter,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create silence with only subscription parameter idempotence,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create a silence,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Test silence creation idempotence,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Modify a silence,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create a second silence,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fetch all silences,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fetch a specific silence,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Delete a silence,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fetch all silecnes,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Try to fetch non-existing silence,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/henrysher/fedora-infra-ansible/blob/master/roles/nuancier/tasks/main.yml,,,0,0,0,1,0,0,0,0,0,0,#,#,#,#
,,install needed packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,copy sundry nuancier configuration,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,create pictures folder where we upload the pictures,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,create the cache folder where nuancier creates the thumbnails,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,create the database scheme,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,replace the nuancier configuration file by the one with the normal user,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,set sebooleans so nuancier can talk to the db,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,apply selinux type to static files,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,set sebooleans so apache can use glusterfs,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,set sebooleans so apache can send emails,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,apply selinux type to the wsgi file,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Install SAR script for nuancier,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/henrysher/fedora-infra-ansible/blob/master/roles/simple-koji-ci/tasks/main.yml,,,0,0,0,0,0,0,1,0,0,0,#,#,#,#
,,install needed packages,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,copy simple-koji-ci configuration,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create /usr/share/fedmsg since apparently fedmsg doesn't do it anymore,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Start and enable the services we want,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/redhat-gpte-devopsautomation/FTL/blob/master/courses/cp-ocp-admin-storage/lab_storage_management/solve_lab.yml,,,0,0,0,1,0,0,0,0,1,0,#,#,#,#
,Solve lab App Management Basics of cp-ocp-admin-storage workshop,,#,#,#,#,#,#,#,#,#,#,1,0,#,#
,,switch to app management project just in case,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Check for a PVC called 'mapit-storage',#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,register the pvc information as a fact if the pvc exists,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,ensure pvc is bound,#,#,#,#,#,#,#,#,#,#,#,#,0,0
